,publication_index,manual_dataset_publication,auto_extraction_dataset,case_index,manual_case_id,automatic_case_id,manual_gene,automatic_gene,manual_score,automatic_score,difference,absolute_difference,percentage_difference,scores_match,match_type,case_confidence,publication_match_type
0,0,"Carney RM, et al. (2003): Identification of MeCP2 mutations in a series of females with autistic disorder","Carney RM, et al - Identification of MeCP2 Mutations in a Series of Females with Autistic Disorder",0,Patient 1,Patient1,MECP2,MeCP2,0.75,1.25,0.5,0.5,66.66666666666666,False,SIGNIFICANT_DIFFERENCE,0.85,TITLE_AUTHOR_HIGH
1,0,"Carney RM, et al. (2003): Identification of MeCP2 mutations in a series of females with autistic disorder","Carney RM, et al - Identification of MeCP2 Mutations in a Series of Females with Autistic Disorder",1,Patient 2,Patient2,MECP2,MeCP2,1.5,1.5,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
2,1,"Bonnet C , et al. (2013): Extended spectrum of MBD5 mutations in neurodevelopmental disorders","Bonnet C, et al - Extended spectrum of MBD5 mutations in neurodevelopmental disorders",1,Patient D,Patient D,MBD5,MBD5,1.5,1.0,-0.5,0.5,-33.33333333333333,False,SIGNIFICANT_DIFFERENCE,0.85,TITLE_AUTHOR_HIGH
3,1,"Bonnet C , et al. (2013): Extended spectrum of MBD5 mutations in neurodevelopmental disorders","Bonnet C, et al - Extended spectrum of MBD5 mutations in neurodevelopmental disorders",2,Patient E,Patient E,MBD5,MBD5,0.5,0.5,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
4,2,"Adegbola AA, et al. (2009): A novel hypomorphic MECP2 point mutation is associated with a neuropsychiatric phenotype.","Adegbola AA, et al - A novel hypomorphic MECP2 point mutation is associated with a neuropsychiatric phenotype",0,Single case,Proband,MECP2,MECP2,0.1,0.1,0.0,0.0,0.0,True,EXACT_MATCH,0.6,TITLE_AUTHOR_HIGH
5,3,"Soden SE, et al. (2014): Effectiveness of exome and genome sequencing guided by acuity of illness for diagnosis of neurodevelopmental disorders.","Soden SE, et al - Effectiveness of exome and genome sequencing guided by acuity of illness for diagnosis of neurodevelopmental disorders",0,CMH301,CMH301,PIGA,PIGA,1.5,1.0,-0.5,0.5,-33.33333333333333,False,SIGNIFICANT_DIFFERENCE,0.85,PMID_EXACT
6,5,Sun et al. (2022): Case Report: De novo DDX3X mutation caused intellectual disability in a female with skewed X-chromosome inactivation on the mutant allele,"Sun Y, et al - Case Report: De novo DDX3X mutation caused intellectual disability in a female with skewed X-chromosome inactivation on the mutant allele",0,Single case report (Individual II-1),II.1,DDX3X,DDX3X,0.5,0.5,0.0,0.0,0.0,True,EXACT_MATCH,0.8,TITLE_AUTHOR_HIGH
7,6,Amadori E et al. (2020): Targeted re-sequencing for early diagnosis of genetic causes of childhood epilepsy: the Italian experience from the 'beyond epilepsy' project,"Amadori E, et al - Targeted re-sequencing for early diagnosis of genetic causes of childhood epilepsy: the Italian experience from the 'beyond epilepsy' project",0,Patient 2,2,MECP2,MECP2,0.25,0.5,0.25,0.25,100.0,False,CLOSE_MATCH,0.8,TITLE_AUTHOR_HIGH
8,6,Amadori E et al. (2020): Targeted re-sequencing for early diagnosis of genetic causes of childhood epilepsy: the Italian experience from the 'beyond epilepsy' project,"Amadori E, et al - Targeted re-sequencing for early diagnosis of genetic causes of childhood epilepsy: the Italian experience from the 'beyond epilepsy' project",1,Patient 12,12,MECP2,MECP2,0.5,0.1,-0.4,0.4,-80.0,False,CLOSE_MATCH,0.8,TITLE_AUTHOR_HIGH
9,6,Amadori E et al. (2020): Targeted re-sequencing for early diagnosis of genetic causes of childhood epilepsy: the Italian experience from the 'beyond epilepsy' project,"Amadori E, et al - Targeted re-sequencing for early diagnosis of genetic causes of childhood epilepsy: the Italian experience from the 'beyond epilepsy' project",2,Patient 13,13,MECP2,MECP2,0.5,0.5,0.0,0.0,0.0,True,EXACT_MATCH,0.8,TITLE_AUTHOR_HIGH
